Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
12/19/07,337.44244,340.09009,334.83484,339.02402,8833358,0,0
12/20/07,343.25827,345.84586,340.64566,345.19019,8835556,0,0
12/21/07,349.28928,349.97998,346.96698,348.69370,10753236,0,0
12/24/07,347.84283,350.71573,346.87689,350.71573,3253543,0,0
12/26/07,349.84485,356.96698,349.45447,355.77579,5054940,0,0
12/27/07,353.88889,358.35837,350.72073,350.72073,5879115,0,0
12/28/07,352.81781,354.32932,348.61862,351.61661,5120275,0,0
12/31/07,349.63464,351.59659,345.63565,346.08609,4747648,0,0
1/2/08,346.78177,349.03403,339.20419,342.93793,8605186,0,0
1/3/08,342.97296,343.76877,338.59860,343.00800,6498495,0,0
1/4/08,340.18518,340.82083,327.82782,328.82883,10708880,0,0
1/7/08,327.29730,331.47147,318.99399,324.94995,12793993,0,0
1/8/08,326.82681,330.31030,315.81583,316.15616,10667522,0,0
1/9/08,315.33533,326.99701,311.56656,326.92694,13465921,0,0
1/10/08,322.82782,328.92892,320.37537,323.68869,12655732,0,0
1/11/08,321.67166,325.06006,315.37036,319.44446,9944046,0,0
1/14/08,325.89590,329.02902,322.94794,327.23724,8886105,0,0
1/15/08,323.27328,324.84985,318.00800,319.14413,11125264,0,0
1/16/08,314.79980,320.31531,301.26627,308.28329,21098880,0,0
1/17/08,310.69070,313.18320,299.30429,300.69571,16417166,0,0
1/18/08,304.48450,305.30029,299.52454,300.42542,17062121,0,0
1/22/08,281.29630,299.04904,280.88089,292.46747,18983997,0,0
1/23/08,280.63565,284.28427,259.75977,274.58459,33897469,0,0
1/24/08,279.67969,290.13513,277.34735,287.53253,18782998,0,0
1/25/08,296.20120,297.79779,283.37338,283.48349,13918068,0,0
1/28/08,285.77078,286.40640,274.57458,278.26828,11621767,0,0
1/29/08,280.51550,280.94595,270.60559,275.53552,12553434,0,0
1/30/08,274.86987,280.49548,272.02704,274.40942,15863321,0,0
1/31/08,269.77478,286.78677,267.41241,282.43243,29712857,0,0
2/1/08,264.59961,268.60361,255.25525,258.20822,35165799,0,0
2/4/08,254.78979,256.64664,246.52151,247.96297,26287886,0,0
2/5/08,244.95996,254.75476,244.50450,253.65366,22384193,0,0
